author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred,base_pred_column,base_pred,repair_verifier_available,repair_verifier_pred,repair_present,repair_type,repair_confidence,repair_evidence,repair_reason,repair_policy_skip_reason,repair_override,repair_applied_pred,repair_applied_correct
0,1,0,1,22,4695,CWE-264,16,187732,0,147,1,0,0,1,0,1,0,1,qemu,0.00034314393997192383,0.9464443922042847,0,906,0,1,0,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The historical repair is a bounds check (offset - 2 > sz) protecting a buffer read in radare2, which is completely absent and irrelevant to the VNC protocol message handler in the target.","The historical repair is primarily a bounds/shape check for a different project and CWE, and the target function lacks any equivalent guard for its own distinct risky operations.",verifier_not_no,0,1,0
1,1,1,1,67,28188,CWE-704,42,194963,0,869,0,14,1,1,1,1,1,1,ImageMagick6,0.01764601469039917,0.9920761585235596,1,5747,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,N/A - The historical repair is specific to the 'file' project's pascal string handling and does not map to any equivalent guard in the target ImageMagick EXIF parsing function.,"The historical repair is a bounds/shape check for pascal string length truncation in the 'file' project, which is completely irrelevant to the target ImageMagick EXIF property parser; there is no equivalent guard or operation present in the target.",verifier_not_no,0,1,1
1,1,1,1,4,1693,CWE-190,7,194989,0,75,0,1,1,1,1,1,1,1,ImageMagick6,0.007056117057800293,0.9854543209075928,1,358,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,1,1,3,6738,CWE-401,4,194994,3,179,1,2,0,0,0,0,0,0,tensorflow,0.00328749418258667,0.9389801621437073,1,1425,0,0,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The historical repair is a bounds/shape check for a hardware emulator buffer overflow, which is completely unrelated to the target TensorFlow executor state initialization function dealing with graph node setup and memory leaks (CWE-401).","The historical repair is primarily a bounds/shape check for a buffer overflow in a different project and CWE, and the target function contains no analogous guard or operation.",verifier_not_no,0,1,1
1,1,1,1,0,1226,CWE-476,3,194996,0,31,0,0,0,0,1,1,0,0,tensorflow,0.0011588335037231445,0.9355892539024353,1,218,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function uses map iterators and find() checks for map boundaries, but lacks the specific null-pointer guard and early exit pattern for a dereferenced pointer that the historical repair introduced.","The historical repair adds a null-check guard for a pointer before dereferencing it, which is entirely absent and irrelevant to the target function's map-lookup and iterator-based logic.",verifier_not_no,0,1,1
1,1,1,1,2,2726,CWE-617,11,194998,1,74,1,0,1,1,1,1,0,0,tensorflow,0.0003197789192199707,0.9321128129959106,1,651,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function contains no string parsing logic, strtol/atoi calls, or trailing-character validation guards; it operates on Tensor properties and shapes.","The historical repair adds a validation guard for string-to-integer parsing (strtol vs atoi), which is entirely absent and irrelevant to the target function's tensor shape manipulation logic.",verifier_not_no,0,1,1
1,1,1,1,0,455,CWE-476,4,195017,0,14,0,0,1,1,1,1,1,1,gpac,0.0022899508476257324,0.9411735534667969,1,110,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target dereferences hmhd before checking it for null (`hmhd->type != GF_ISOM_BOX_TYPE_HMHD` on line 4, then `!hmhd` on line 6), and the historical null guards are unrelated to this specific use-after-null-dereference pattern.","The target function contains a null dereference vulnerability by accessing hmhd->type before checking if hmhd is null, and the historical repair evidence (which guards different variables like res.fi or dev->in_ep) does not match this specific missing guard.",verifier_not_no,0,1,1
0,0,1,1,4,2808,CWE-617,9,195019,3,75,4,0,0,0,1,1,0,0,tensorflow,0.005847573280334473,0.9466097354888916,1,580,0,0,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function contains no shape compatibility checks for ragged tensor flat_values, nor any null checks for table pointers, nor any offset bounds checks.","The historical repair adds a shape compatibility guard for ragged tensor flat_values which is entirely absent from the target function, and the evidence is primarily a bounds/shape check.",verifier_not_no,0,1,1
1,1,1,1,0,10298,CWE-287,52,195022,0,141,0,20,1,1,1,1,0,0,glewlwyd,0.0025119781494140625,0.9502125382423401,1,1681,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,The target function uses auth_check_user_credentials for authentication and does not call crypt() or check its return value for NULL.,"The historical repair adds a NULL check on the return value of crypt() before using it in strcmp, which is entirely absent in the target function that uses a different authentication mechanism.",verifier_not_no,0,1,1
1,1,1,1,3,5831,CWE-190,0,195023,1,144,0,0,1,1,1,1,1,1,tensorflow,0.0058106184005737305,0.9639583826065063,1,1139,1,1,1,1,best_ensemble_pred,1,1,0,True,bounds_or_shape_check,high,"Target contains OP_REQUIRES(context, TensorShapeUtils::IsMatrix(input_indices->shape()), ...), OP_REQUIRES(context, TensorShapeUtils::IsVector(input_shape->shape()), ...), and OP_REQUIRES(context, input_shape->shape().dim_size(0) == input_indices->shape().dim_size(1), ...) before the downstream tensor operations.","The target function already contains the exact IsMatrix, IsVector, and dim_size equality shape checks on the same semantic variables (input_indices, input_shape) as the historical repair evidence, guarding the same downstream sinks with OP_REQUIRES.",,1,0,0
1,1,1,1,0,1703,CWE-909,22,195026,1,78,1,2,0,0,0,0,0,0,linux,0.0028592944145202637,0.9666721224784851,1,412,0,0,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,The target function `nfs4_file_open` contains no UID ownership checks or `check_ruid` equivalent guards before proceeding with its open operations.,"The historical repair adds a specific UID ownership guard for ecryptfs mount operations, which is entirely absent and irrelevant to the target NFS open function.",verifier_not_no,0,1,1
1,1,1,1,11,4634,CWE-401,7,195028,3,94,2,1,1,1,1,1,1,1,tensorflow,0.004166722297668457,0.9367724657058716,1,956,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"Target guard checks `width >= (1LL << 27) || height >= (1LL << 27) || total_size >= (1LL << 29)` before allocation, whereas the historical repair checks `width * abs(height) < numeric_limits<int32>::max() / 8`.","The target function contains bounds checks for width, height, and total_size, but the bound variables and specific overflow relations (1LL << 27/29 vs numeric_limits<int32>::max() / 8) differ from the historical repair obligation, meaning the exact historical repair is not present.",verifier_not_no,0,1,1
1,1,1,1,4,2052,CWE-125,6,195029,0,62,1,3,1,1,0,0,0,0,tensorflow,0.002110421657562256,0.9451507329940796,1,484,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function contains unrelated DCHECK guards for graph edges and type arguments, but lacks the specific bounds/shape checks for data buffer sizes seen in the historical sqlite repair.","The historical repair adds bounds/shape checks for buffer data dimensions in sqlite, which is completely unrelated to the TensorFlow target function's type inference logic, and the target lacks any equivalent guard.",verifier_not_no,0,1,1
1,1,1,1,11,877,CWE-476,5,195038,0,40,0,0,1,1,1,1,0,0,mruby,0.007182121276855469,0.9425991773605347,1,249,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"Target has `if (n > len) n = len;` before `*(ptr+n)`, but historical evidence is about `ptr < buf+len` for buffer read in libplist (CWE-125), which is a different variable, bound, and sink operation.","The historical repair evidence is for a buffer over-read in libplist (CWE-125) checking `ptr < buf+len`, which does not map to the target's array shift bounds clamping `n > len` or its NULL dereference risk (CWE-476).",verifier_not_no,0,1,1
1,1,1,1,0,3831,CWE-354,2,195039,0,83,0,0,1,1,1,1,0,0,tensorflow,0.0006667971611022949,0.9582131505012512,1,854,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,The target function computes num_groups = in_depth / patch_depth and uses it for tensor reshaping and shuffling without any bounds or shape validation on the division or the resulting dimensions.,"The historical repair evidence validates BMP image dimensions (width, height) to prevent integer overflow in buffer size calculations, which is semantically unrelated to the target function's grouped convolution tensor reshaping and dimension shuffling operations.",verifier_not_no,0,1,1
1,1,1,1,0,2726,CWE-476,8,195040,0,62,2,0,0,0,0,0,0,0,tensorflow,0.003389716148376465,0.9284627437591553,1,516,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,No guard checking for a disconnected state or similar lifecycle condition before proceeding with initialization exists in the target function.,"The historical repair adds a disconnected-state guard for USB hub initialization, which is entirely unrelated to the target TensorFlow XLA compilation cache builder function that lacks any such guard or equivalent state check.",verifier_not_no,0,1,1
1,1,1,1,8,3819,CWE-787,0,195055,0,90,0,0,1,1,1,1,1,1,tensorflow,0.005332231521606445,1.0,1,746,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"Target function contains OP_REQUIRES checks for indices shape, weights shape, and shape elements, but no shape compatibility check for flat_values before accessing matrix/flat data.","The historical repair adds a shape compatibility guard for ragged tensor flat_values before calling flat_outer_dims, which is entirely absent from the target function dealing with sparse bincount operations.",verifier_not_no,0,1,1
0,0,1,1,0,2670,CWE-369,1,195056,0,65,0,0,1,1,0,0,0,0,tensorflow,0.0046010613441467285,0.942516028881073,1,623,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,The target function contains no null-checks on allocations or bounds-checks on buffer indices prior to NEON vector loads/stores or scalar array accesses.,"The historical repair adds null and bounds guards for memory allocation and buffer indexing in radare2/libgd, which are completely absent and irrelevant to the TensorFlow NEON vector math BiasAndClamp function.",verifier_not_no,0,1,1
