sample_key,idx,verifier_group,target,project,cwe,func_char_len,func_line_count,func_signature,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,retrieval_top1_evidence_role,retrieval_pos_neg_margin_max,method_pred_entropy,top_calls
idx:442189,442189,icl_method_only,0,qemu,CWE-835,493,14,"e1000_send_packet(E1000State *s, const uint8_t *buf, int size)",1,0,1,1,1,vulnerable_changed,0.0005339980125427246,0.8112781244591328,e1000_send_packet|qemu_get_queue|qemu_receive_packet|qemu_send_packet|inc_tx_bcast_or_mcast_count|e1000x_increase_size_stats
idx:220100,220100,icl_method_only,0,linux,CWE-909,1686,78,"nfs4_file_open(struct inode *inode, struct file *filp)",1,0,1,0,1,vulnerable_changed,0.0028592944145202637,1.0,file_dentry|d_inode|PTR_ERR|IS_ERR|nfs4_file_open|lookup|create|dprintk|file|nfs_check_flags|dget_parent|alloc_nfs_open_context|filemap_write_and_wait|NFS_PROTO|open_context|nfs_file_set_open_context|nfs_fscache_open_file|put_nfs_open_context|dput|d_drop
idx:338747,338747,icl_method_only,0,ImageMagick,CWE-772,13644,418,"static Image *ReadTGAImage(const ImageInfo *image_info,",1,0,1,1,1,safe_background,0.0,0.5435644431995964,ScaleCharToQuantum|ReadBlobByte|ThrowReaderException|ReadBlob|ReadBlobLSBShort|ScaleAnyToQuantum|assert|SetImageArtifact|ClampToQuantum|DestroyImageList|EOFBlob|AcquireImageColormap|CloseBlob|GetQuantumRange|ConstrainColormapIndex|ReadTGAImage|LogMagickEvent|GetMagickModule|AcquireImage|OpenBlob
idx:417093,417093,icl_method_only,0,MilkyTracker,CWE-416,251,17,PlayerGeneric::~PlayerGeneric(),1,0,0,0,0,safe_background,-0.009276151657104492,0.954434002924965,PlayerGeneric|isActive|isDeviceRemoved|removeDevice
idx:273091,273091,icl_method_only,0,owntone-server,CWE-416,2738,95,"net_bind(short unsigned *port, int type, const char *log_service_name)",1,0,1,0,0,vulnerable_changed,0.001396775245666504,0.8112781244591328,DPRINTF|setsockopt|cfg_getsec|close|strerror|net_bind|cfg_getstr|cfg_getbool|snprintf|getaddrinfo|gai_strerror|socket|bind|freeaddrinfo|address|assigned|getsockname|net_port_get|net_address_get
idx:326119,326119,icl_method_only,0,vim,CWE-416,34649,1495,regmatch(,1,0,1,0,1,vulnerable_changed,0.008198976516723633,1.0,ADVANCE_REGINPUT|OPERAND|regstack_pop|regstack_push|reg_restore|OP|reg_save|mch_errmsg|STRLEN|_|regnext|reg_getline|vim_iswordc_buf|VIM_ISDIGIT|cstrncmp|save_se|restore_se|WITH_NL|re_num_cmp|MB_TOLOWER
idx:446416,446416,icl_method_only,0,rizin,CWE-787,2834,110,static RzDyldRebaseInfos *get_rebase_infos(RzDyldCache *cache) {,1,0,1,1,1,vulnerable_changed,0.0008574128150939941,0.5435644431995964,free|RZ_NEWS0|rz_buf_read_le32_at|get_rebase_info|get_rebase_infos|RZ_NEW0|rz_buf_fread_at|memcpy
idx:259619,259619,icl_method_only,0,libjpeg,CWE-787,1217,34,void HierarchicalBitmapRequester::PrepareForEncoding(void),1,0,0,0,1,vulnerable_changed,0.004355490207672119,1.0,PrepareForEncoding|AllocMem|memset|BuildCommon|ComponentOf|SubXOf|SubYOf|CreateDownsampler|TablesOf|isDownsamplingInterpolated
idx:424522,424522,icl_method_only,0,FreeRDP,CWE-190,1645,69,"static PresentationContext* PresentationContext_new(VideoClientContext* video, BYTE PresentationId,",1,0,1,1,1,vulnerable_changed,0.0069866180419921875,0.5435644431995964,WLog_ERR|PresentationContext_new|calloc|h264_context_new|h264_context_reset|Stream_New|BufferPool_Take|createSurface|yuv_context_new|yuv_context_reset|deleteSurface|BufferPool_Return|Stream_Free|h264_context_free|free
idx:247550,247550,icl_method_only,0,envoy,CWE-362,2972,62,"void DefaultCertValidator::updateDigestForSessionId(bssl::ScopedEVP_MD_CTX& md,",1,0,1,0,0,vulnerable_changed,0.0003101229667663574,0.954434002924965,RELEASE_ASSERT|get|getLastCryptoError|value_or|EVP_DigestUpdate|data|size|decltype|updateDigestForSessionId|X509_digest|EVP_sha256|format|subjectAltNameMatchers|hash|certificateRevocationList|empty|length|allowExpiredCertificate|trustChainVerification|onlyVerifyLeafCertificateCrl
idx:446096,446096,icl_method_only,0,linux,CWE-416,535,24,static void atusb_disconnect(struct usb_interface *interface),1,0,1,1,1,vulnerable_changed,0.001225590705871582,0.5435644431995964,atusb_disconnect|usb_get_intfdata|dev_dbg|cancel_delayed_work_sync|usb_kill_anchored_urbs|atusb_free_urbs|usb_kill_urb|usb_free_urb|ieee802154_unregister_hw|usb_put_dev|ieee802154_free_hw|usb_set_intfdata|pr_debug
idx:312399,312399,icl_method_only,0,vim,CWE-703,1303,52,"call_qftf_func(qf_list_T *qfl, int qf_winid, long start_idx, long end_idx)",1,0,0,0,1,fixed_changed,-0.0018973350524902344,0.954434002924965,dict_add_number|call_qftf_func|dict_alloc_lock|IS_QF_LIST|call_callback|clear_tv|dict_unref
idx:267357,267357,icl_method_only,0,crun,CWE-276,3362,93,"crun_command_exec (struct crun_global_arguments *global_args, int argc, char **argv, libcrun_error_t *err)",1,0,0,1,1,vulnerable_changed,0.0033065080642700195,0.954434002924965,dup_array|getenv|xmalloc0|crun_command_exec|memset|argp_parse|crun_assert_n_args|init_libcrun_context|UNLIKELY|strtoll|xstrdup|make_oci_process_user|xmalloc|libcrun_container_exec_with_options
idx:270767,270767,icl_method_only,0,barebox,CWE-200,1388,65,"static int check_passwd(unsigned char *passwd, size_t length)",1,0,1,1,0,vulnerable_changed,0.003004133701324463,1.0,IS_ENABLED|crypto_memneq|check_passwd|digest_alloc|pr_err|digest_length|calloc|is_passwd_env_enable|read_env_passwd|is_passwd_default_enable|read_default_passwd|pkcs5_pbkdf2_hmac_sha1|digest_digest|free|digest_free
idx:405333,405333,icl_method_only,0,linux,CWE-703,954,47,"static int xfrm_expand_policies(const struct flowi *fl, u16 family,",1,0,1,0,0,vulnerable_context,0.002516627311706543,1.0,IS_ERR|PTR_ERR|xfrm_expand_policies|xfrm_policy_lookup_bytype|xp_net|xfrm_pols_put
idx:232839,232839,icl_method_only,0,tensorflow,CWE-703,1205,26,void Compute(OpKernelContext* context) override {,1,0,1,0,1,fixed_changed,-0.0013327598571777344,0.8112781244591328,OP_REQUIRES|OP_REQUIRES_OK|input|InvalidArgument|Compute|QuantileStreamResource|CreateResource|HandleFromInput|ok|code
idx:319422,319422,icl_method_only,0,ImageMagick6,CWE-787,15774,420,"static Image *ReadCINImage(const ImageInfo *image_info,ExceptionInfo *exception)",1,0,1,1,1,vulnerable_changed,0.0,0.5435644431995964,ReadBlob|ReadBlobFloat|ReadBlobByte|CopyMagickString|SetImageProperty|ReadBlobLong|IsFloatDefined|FormatImageProperty|ThrowReaderException|assert|DestroyImageList|memset|GetBlobSize|CloseBlob|GetBytesPerRow|ReadCINImage|LogMagickEvent|GetMagickModule|AcquireImage|OpenBlob
idx:472123,472123,icl_method_only,0,linux,CWE-416,2262,86,"int cgroup1_parse_param(struct fs_context *fc, struct fs_parameter *param)",1,0,0,0,1,fixed_changed,-6.622076034545898e-05,0.954434002924965,invalfc|strcmp|invalf|cgroup1_parse_param|cgroup_fc2context|fs_parse|for_each_subsys|cgroup_ssid_enabled|cgroup1_ssid_disabled|isalnum
idx:506428,506428,icl_method_only,0,core,CWE-125,342,20,"rpa_read_buffer(pool_t pool, const unsigned char **data,",1,0,1,0,1,vulnerable_context,0.004462599754333496,1.0,rpa_read_buffer|p_malloc|memcpy
idx:276921,276921,icl_method_only,0,u-boot,CWE-787,2212,106,"static int do_i2c_md(struct cmd_tbl *cmdtp, int flag, int argc,",1,0,1,1,1,vulnerable_changed,0.0013740062713623047,0.5435644431995964,CONFIG_IS_ENABLED|hextoul|printf|i2c_report_err|puts|do_i2c_md|get_alen|i2c_get_cur_bus_chip|i2c_set_chip_offset_len|dm_i2c_read|i2c_read|putc
idx:336807,336807,icl_method_only,0,ghostpdl,CWE-787,920,26,"lprn_is_black(gx_device_printer * pdev, int r, int h, int bx)",1,0,1,0,1,vulnerable_changed,0.005755364894866943,0.8112781244591328,lprn_is_black|gdev_mem_bytes_per_scan_line
idx:301429,301429,icl_method_only,0,samba,CWE-665,8880,330,"static NTSTATUS vfswrap_fsctl(struct vfs_handle_struct *handle,",1,0,0,0,1,vulnerable_changed,0.004195272922515869,0.954434002924965,DEBUG|fsp_fnum_dbg|TALLOC_FREE|SIVAL|NT_STATUS_IS_OK|talloc_array|push_file_id_16|max_data_count|DEBUGADD|MIN|sid_string_dbg|BVAL|SBVAL|vfswrap_fsctl|file_set_sparse|smb_fname_str_dbg|nt_errstr|memcpy|create_volume_objectid|Copies
