error_type,project,avg_char_len,avg_yes_vote_count,n,pred_0,pred_1,target_0,target_1
correct,tensorflow,3112.27,4.56,73,9,64,9,64
FP,tensorflow,3696.22,5.17,63,0,63,63,0
correct,linux,1775.65,5.05,57,9,48,9,48
FP,linux,2151.06,5.67,48,0,48,48,0
correct,vim,8837.02,4.17,40,9,31,9,31
FP,vim,9299.21,5.28,29,0,29,29,0
FP,gpac,4636.5,6.69,16,0,16,16,0
correct,gpac,4575.0,6.75,16,0,16,0,16
correct,php-src,2137.0,6.0,11,1,10,1,10
FP,php-src,1909.6,6.4,10,0,10,10,0
FP,radare2,4185.6,6.1,10,0,10,10,0
correct,pjproject,1759.0,6.1,10,1,9,1,9
correct,radare2,4113.8,6.6,10,0,10,0,10
FN,linux,1084.44,0.11,9,9,0,0,9
FN,tensorflow,1214.12,0.0,8,8,0,0,8
FP,ImageMagick,20202.25,6.88,8,0,8,8,0
FP,pjproject,2331.88,6.62,8,0,8,8,0
correct,ImageMagick,20137.88,7.0,8,0,8,0,8
correct,mruby,14235.88,4.12,8,2,6,2,6
correct,qemu,1670.12,5.5,8,1,7,1,7
correct,server,3621.25,2.25,8,4,4,4,4
FN,vim,9869.43,0.14,7,7,0,0,7
FP,ImageMagick6,22513.86,7.0,7,0,7,7,0
correct,ImageMagick6,22474.86,7.0,7,0,7,0,7
FP,ghostpdl,1538.83,6.33,6,0,6,6,0
FP,mruby,18312.5,5.67,6,0,6,6,0
FP,qemu,2210.83,6.17,6,0,6,6,0
correct,ghostpdl,1427.67,6.5,6,0,6,0,6
correct,squashfs-tools,3223.0,6.67,6,0,6,0,6
FP,linux-2.6,1358.4,6.4,5,0,5,5,0
FP,njs,2734.0,5.8,5,0,5,5,0
correct,linux-2.6,1287.2,6.0,5,0,5,0,5
correct,njs,2710.2,6.2,5,0,5,0,5
correct,openssl,3670.2,5.2,5,1,4,1,4
FP,libmobi,2945.25,6.5,4,0,4,4,0
FP,openssl,4856.5,5.75,4,0,4,4,0
FP,rizin,1421.25,5.75,4,0,4,4,0
FP,squashfs-tools,3376.5,6.75,4,0,4,4,0
correct,libmobi,2875.5,6.25,4,0,4,0,4
correct,rizin,1379.25,5.5,4,0,4,0,4
FP,MilkyTracker,9334.0,6.0,3,0,3,3,0
FP,core,2201.0,5.67,3,0,3,3,0
FP,jasper,8527.33,6.33,3,0,3,3,0
FP,libjpeg,4334.0,5.67,3,0,3,3,0
correct,MilkyTracker,9285.33,7.0,3,0,3,0,3
correct,core,2179.0,6.0,3,0,3,0,3
correct,flatpak,5807.0,2.33,3,1,2,1,2
correct,jasper,8454.67,6.33,3,0,3,0,3
correct,libjpeg,4285.33,6.67,3,0,3,0,3
FN,lua,450.5,0.0,2,2,0,0,2
FN,mongo,9889.0,0.0,2,2,0,0,2
FN,mruby,2007.5,0.0,2,2,0,0,2
FN,server,9297.5,0.5,2,2,0,0,2
FP,EternalTerminal,561.5,7.0,2,0,2,2,0
FP,admesh,1540.5,5.5,2,0,2,2,0
FP,barebox,846.5,5.0,2,0,2,2,0
FP,chafa,8859.5,6.5,2,0,2,2,0
FP,clamav-devel,2849.0,7.0,2,0,2,2,0
FP,dpdk,3148.5,7.0,2,0,2,2,0
FP,file-roller,4767.5,5.0,2,0,2,2,0
FP,frr,3243.0,7.0,2,0,2,2,0
FP,glewlwyd,8644.0,7.0,2,0,2,2,0
FP,libtiff,3859.0,7.0,2,0,2,2,0
FP,net,1684.5,7.0,2,0,2,2,0
FP,server,2778.0,5.0,2,0,2,2,0
FP,squid,11310.0,7.0,2,0,2,2,0
FP,squirrel,1271.5,6.0,2,0,2,2,0
FP,xserver,1824.5,7.0,2,0,2,2,0
correct,EternalTerminal,524.0,7.0,2,0,2,0,2
correct,admesh,1504.0,6.0,2,0,2,0,2
correct,barebox,838.0,7.0,2,0,2,0,2
correct,booth,1016.0,1.5,2,1,1,1,1
correct,ceph,7289.0,3.5,2,1,1,1,1
correct,chafa,8706.5,7.0,2,0,2,0,2
correct,clamav-devel,2770.0,7.0,2,0,2,0,2
correct,dpdk,3071.5,7.0,2,0,2,0,2
correct,file-roller,4494.5,5.5,2,0,2,0,2
correct,frr,2900.5,7.0,2,0,2,0,2
correct,glewlwyd,8717.5,6.5,2,0,2,0,2
correct,guile,691.5,3.0,2,1,1,1,1
correct,libarchive,2219.5,1.0,2,1,1,1,1
correct,libtiff,3584.5,7.0,2,0,2,0,2
correct,libtpms,529.0,1.0,2,1,1,1,1
correct,libvirt,1009.5,3.5,2,1,1,1,1
correct,lua,530.5,0.0,2,2,0,2,0
correct,mongo,10047.0,0.0,2,2,0,2,0
correct,mujs,216.0,2.0,2,1,1,1,1
correct,net,1530.0,7.0,2,0,2,0,2
correct,nettle,1432.0,1.5,2,1,1,1,1
correct,pcre2,14528.5,1.0,2,1,1,1,1
correct,squid,11573.5,7.0,2,0,2,0,2
correct,squirrel,1212.0,4.5,2,0,2,0,2
correct,xserver,1760.5,7.0,2,0,2,0,2
FN,evolution-data-server,295.0,0.0,1,1,0,0,1
FN,hermes,2070.0,0.0,1,1,0,0,1
FN,libvirt,1308.0,0.0,1,1,0,0,1
FN,lsquic,1227.0,0.0,1,1,0,0,1
FN,open62541,500.0,0.0,1,1,0,0,1
FN,openssl,95.0,0.0,1,1,0,0,1
FN,pcre2,4749.0,1.0,1,1,0,0,1
FN,php-src,4635.0,0.0,1,1,0,0,1
FN,postgres,46206.0,0.0,1,1,0,0,1
FN,util-linux,7619.0,0.0,1,1,0,0,1
FP,FFmpeg,1611.0,7.0,1,0,1,1,0
FP,FreeRDP,1645.0,7.0,1,0,1,1,0
FP,FreeRTOS-Kernel,2940.0,6.0,1,0,1,1,0
FP,JUCE,2458.0,7.0,1,0,1,1,0
FP,LibRaw,1419.0,7.0,1,0,1,1,0
FP,LuaJIT,1412.0,4.0,1,0,1,1,0
