method,pair_id,vuln_idx,fixed_idx,project,cwe,commit_id_match,cve_match,vuln_pred,fixed_pred,pair_outcome
gpt55_rag,0,194963,217569,ImageMagick6,['CWE-704'],True,True,0,0,P-B
gpt55_rag,1,194989,218785,ImageMagick6,['CWE-190'],True,True,0,0,P-B
gpt55_rag,2,194994,218852,tensorflow,['CWE-401'],True,True,0,0,P-B
gpt55_rag,3,194996,218933,tensorflow,['CWE-476'],True,True,1,0,P-C
gpt55_rag,4,194998,219032,tensorflow,['CWE-617'],True,True,1,1,P-V
gpt55_rag,5,195017,219912,gpac,['CWE-476'],True,True,1,1,P-V
gpt55_rag,6,195019,219931,tensorflow,['CWE-617'],True,True,1,1,P-V
gpt55_rag,7,195022,219947,glewlwyd,['CWE-287'],True,True,1,1,P-V
gpt55_rag,8,195023,220021,tensorflow,['CWE-190'],True,True,0,0,P-B
gpt55_rag,9,195026,220100,linux,['CWE-909'],True,True,0,0,P-B
gpt55_rag,10,195028,220168,tensorflow,['CWE-401'],True,True,0,0,P-B
gpt55_rag,11,195029,220201,tensorflow,['CWE-125'],True,True,1,1,P-V
gpt55_rag,12,195038,220442,mruby,['CWE-476'],True,True,0,0,P-B
gpt55_rag,13,195039,220449,tensorflow,['CWE-354'],True,True,1,1,P-V
gpt55_rag,14,195040,220463,tensorflow,['CWE-476'],True,True,0,0,P-B
gpt55_rag,15,195055,220804,tensorflow,['CWE-787'],True,True,1,1,P-V
gpt55_rag,16,195056,220841,tensorflow,['CWE-369'],True,True,1,1,P-V
gpt55_rag,17,195059,220909,tensorflow,['CWE-617'],True,True,1,0,P-C
gpt55_rag,18,195063,220924,gpac,['CWE-476'],True,True,1,1,P-V
gpt55_rag,19,195069,221079,gpac,['CWE-120'],True,True,1,0,P-C
gpt55_rag,20,195073,221123,tensorflow,['CWE-416'],True,True,0,0,P-B
gpt55_rag,21,195074,221160,gpac,['CWE-415'],True,True,1,1,P-V
gpt55_rag,22,195082,221413,linux,['CWE-862'],True,True,0,0,P-B
gpt55_rag,23,195083,221428,tensorflow,['CWE-617'],True,True,0,0,P-B
gpt55_rag,24,195091,221631,tensorflow,['CWE-754'],True,True,0,0,P-B
gpt55_rag,25,195092,221651,hermes,['CWE-843'],True,True,0,0,P-B
gpt55_rag,26,195095,221678,e2guardian,['CWE-295'],True,True,1,0,P-C
gpt55_rag,27,195220,222666,tmate-ssh-server,['CWE-362'],True,True,1,0,P-C
gpt55_rag,28,195230,222737,pjproject,['CWE-125'],True,True,1,1,P-V
gpt55_rag,29,195231,222739,gpac,['CWE-476'],True,True,0,0,P-B
gpt55_rag,30,195233,222906,tensorflow,['CWE-787'],True,True,0,0,P-B
gpt55_rag,31,195234,222925,tensorflow,['CWE-617'],True,True,0,0,P-B
gpt55_rag,32,195237,223089,ImageMagick,['CWE-190'],True,True,1,1,P-V
gpt55_rag,33,195264,223368,pcre2,['CWE-125'],True,True,1,0,P-C
gpt55_rag,34,195274,223728,tensorflow,['CWE-476'],True,True,0,1,P-R
gpt55_rag,35,195291,224153,tensorflow,['CWE-908'],True,True,0,0,P-B
gpt55_rag,36,195293,224154,mruby,['CWE-476'],True,True,0,0,P-B
gpt55_rag,37,195294,224181,tensorflow,['CWE-843'],True,True,0,0,P-B
gpt55_rag,38,195295,224192,mruby,['CWE-125'],True,True,0,0,P-B
gpt55_rag,39,195296,224208,uWebSockets,['CWE-787'],True,True,1,1,P-V
gpt55_rag,40,195308,224277,flatpak,['CWE-20'],True,True,1,0,P-C
gpt55_rag,41,195309,224281,squid,['CWE-400'],True,True,1,1,P-V
gpt55_rag,42,195328,224472,gpac,['CWE-415'],True,True,1,1,P-V
gpt55_rag,43,195331,224570,tensorflow,['CWE-843'],True,True,1,1,P-V
gpt55_rag,44,195334,224728,gpac,['CWE-415'],True,True,1,1,P-V
gpt55_rag,45,195340,224862,tensorflow,['CWE-190'],True,True,1,0,P-C
gpt55_rag,46,195343,224891,tensorflow,['CWE-125'],True,True,1,1,P-V
gpt55_rag,47,195385,224964,flatpak,['CWE-276'],True,True,0,0,P-B
gpt55_rag,48,195388,225062,postgres,['CWE-522'],True,True,0,0,P-B
gpt55_rag,49,195389,225086,tensorflow,['CWE-617'],True,True,0,0,P-B
gpt55_rag,50,195391,225125,tensorflow,['CWE-190'],True,True,1,1,P-V
gpt55_rag,51,195398,225383,v4l2loopback,['CWE-134'],True,True,1,0,P-C
gpt55_rag,52,195399,225473,tensorflow,['CWE-476'],True,True,1,0,P-C
gpt55_rag,53,195402,225547,tensorflow,['CWE-190'],True,True,1,1,P-V
gpt55_rag,54,195403,225552,tensorflow,['CWE-190'],True,True,1,1,P-V
gpt55_rag,55,195404,225563,tensorflow,['CWE-369'],True,True,1,1,P-V
gpt55_rag,56,195405,225566,ImageMagick6,['CWE-190'],True,True,1,1,P-V
gpt55_rag,57,195409,226029,gpac,['CWE-476'],True,True,1,0,P-C
gpt55_rag,58,195410,226433,tensorflow,['CWE-476'],True,True,1,0,P-C
gpt55_rag,59,195471,227022,weechat,['CWE-476'],True,True,1,1,P-V
gpt55_rag,60,195565,228563,hhvm,['CWE-119'],True,True,1,1,P-V
gpt55_rag,61,195626,229165,qemu,['CWE-787'],True,True,1,1,P-V
gpt55_rag,62,195629,229337,tensorflow,['CWE-476'],True,True,0,0,P-B
gpt55_rag,63,195665,230302,njs,['CWE-703'],True,True,0,0,P-B
gpt55_rag,64,195670,230394,pjproject,['CWE-703'],True,True,1,1,P-V
gpt55_rag,65,195691,231012,mruby,['CWE-703'],True,True,0,0,P-B
gpt55_rag,66,195692,231048,FreeRTOS-Kernel,['CWE-200'],True,True,0,1,P-R
gpt55_rag,67,195720,231710,mvfst,['CWE-703'],True,True,0,0,P-B
gpt55_rag,68,195740,232289,libjpeg,['CWE-703'],True,True,0,1,P-R
gpt55_rag,69,195741,232287,libjpeg,['CWE-703'],True,True,1,1,P-V
gpt55_rag,70,195742,232329,gpac,['CWE-476'],True,True,0,0,P-B
gpt55_rag,71,195752,232405,tensorflow,['CWE-476'],True,True,1,1,P-V
gpt55_rag,72,195768,232839,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,73,195800,233862,deark,['CWE-369'],True,True,1,0,P-C
gpt55_rag,74,195801,233867,php-src,['CWE-476'],True,True,1,1,P-V
gpt55_rag,75,195908,234731,linux,['CWE-703'],True,True,1,0,P-C
gpt55_rag,76,195909,234875,ImageMagick,['CWE-125'],True,True,1,1,P-V
gpt55_rag,77,195954,235642,pjproject,['CWE-787'],True,True,1,0,P-C
gpt55_rag,78,195965,235765,tensorflow,['CWE-787'],True,True,1,1,P-V
gpt55_rag,79,195984,236125,gpac,['CWE-703'],True,True,1,1,P-V
gpt55_rag,80,196276,237885,lsquic,['CWE-269'],True,True,0,0,P-B
gpt55_rag,81,196316,238322,barebox,['CWE-200'],True,True,1,0,P-C
gpt55_rag,82,196328,238803,vim,['CWE-416'],True,True,0,0,P-B
gpt55_rag,83,196578,240276,vim,['CWE-787'],True,True,1,1,P-V
gpt55_rag,84,196587,240595,tensorflow,['CWE-369'],True,True,0,0,P-B
gpt55_rag,85,196611,241040,booth,['CWE-284'],True,True,0,0,P-B
gpt55_rag,86,196621,241311,mruby,['CWE-787'],True,True,0,0,P-B
