idx,target,base_pred,error_type,taxonomy,dominant_pattern,yes_vote_count,known_vote_count,project,cwe,char_len,line_count,retrieval_top1_score,retrieval_pos_neg_margin_max,author_no_yes_correct,author_no_yes_pred,base_correct,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,error_handling_keyword_count,length_bucket,lifecycle_keyword_count,memory_api_count,method_pattern,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,repair_signal,retrieval_bucket,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred
187732,0,1,FP,yes_prior_consensus_false_positive,bounds,7,7,qemu,CWE-264,4695,147,0.9464443922042847,0.00034314393997192383,0,1,0,0,1,22,16,medium_2k_5k,0,1,all_methods_yes,0,0,1,0,1,0,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,906,0,1,0,1
194963,1,1,correct,correct,bounds,7,7,ImageMagick6,CWE-704,28188,869,0.9920761585235596,0.01764601469039917,1,1,1,1,1,67,42,very_long_10k_plus,0,0,all_methods_yes,14,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_pos_margin,5747,1,1,1,1
194989,1,1,correct,correct,error_handling,7,7,ImageMagick6,CWE-190,1693,75,0.9854543209075928,0.007056117057800293,1,1,1,1,1,4,7,short_<2k,0,0,all_methods_yes,1,1,1,1,1,1,1,no_repair_verifier_candidate,retrieval_low_margin,358,1,1,1,1
194994,1,1,correct,correct,error_handling,2,7,tensorflow,CWE-401,6738,179,0.9389801621437073,0.00328749418258667,0,0,1,1,1,3,4,long_5k_10k,3,1,method_disagreement,2,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,1425,0,0,1,1
194996,1,1,correct,correct,error_handling,5,7,tensorflow,CWE-476,1226,31,0.9355892539024353,0.0011588335037231445,1,1,1,1,1,0,3,short_<2k,0,0,method_disagreement,0,0,0,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,218,1,1,1,1
194998,1,1,correct,correct,error_handling,6,7,tensorflow,CWE-617,2726,74,0.9321128129959106,0.0003197789192199707,1,1,1,1,1,2,11,medium_2k_5k,1,1,near_consensus_yes,0,1,1,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,651,1,1,1,1
195017,1,1,correct,correct,error_handling,7,7,gpac,CWE-476,455,14,0.9411735534667969,0.0022899508476257324,1,1,1,1,1,0,4,short_<2k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,110,1,1,1,1
195019,1,1,correct,correct,error_handling,3,7,tensorflow,CWE-617,2808,75,0.9466097354888916,0.005847573280334473,0,0,1,1,1,4,9,medium_2k_5k,3,4,method_disagreement,0,0,0,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,580,0,0,1,1
195022,1,1,correct,correct,error_handling,6,7,glewlwyd,CWE-287,10298,141,0.9502125382423401,0.0025119781494140625,1,1,1,1,1,0,52,very_long_10k_plus,0,0,near_consensus_yes,20,1,1,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,1681,1,1,1,1
195023,1,1,correct,correct,bounds,7,7,tensorflow,CWE-190,5831,144,0.9639583826065063,0.0058106184005737305,1,1,1,1,1,3,0,long_5k_10k,1,0,all_methods_yes,0,1,1,1,1,1,1,repair_present_override_candidate:bounds_or_shape_check,retrieval_low_margin,1139,1,1,1,1
