idx,paired_idx,target,project,cwe,group,primary_category,categories,repair_signal,has_added_guard,has_added_error_handling,has_api_replacement,has_state_or_lifetime_repair,changed_line_count,changed_region_count,char_len,line_count,patch_margin,patch_closer_side,added_lines,changed_line_ratio,changed_lines,diff_excerpt,has_bounds_or_shape_repair,patch_pair_cwe,patch_pair_project,pred_pattern,removed_lines
195059,220909,1,tensorflow,CWE-617,target1_all_wrong_semantic,assert_dos,assert_dos|null_check|error_handling,added_guard|added_error_handling|api_replacement,1,1,1,0,2,1,1177,40,0.9030621647834778,vulnerable,"if (input == nullptr) {
VLOG(1) << ""node = "" << node.name() << "" input = "" << node.input(0);
return false;
}",0.05,"L20: CHECK(input != nullptr) << ""node = "" << node.name()
L21: << "" input = "" << node.input(0);","--- vuln 195059
+++ fixed 220909
@@ -18,6 +18,8 @@
 
   const NodeDef* input = node_map_->GetNode(NodeName(node.input(0)));
-  CHECK(input != nullptr) << ""node = "" << node.name()
-                          << "" input = "" << node.input(0);
+  if (input == nullptr) {
+    VLOG(1) << ""node = "" << node.name() << "" input = "" << node.input(0);
+    return false;
+  }
   // Don't remove Identity nodes corresponding to Variable reads or following
   // Recv.",0,CWE-190,mysql-server,0|0|0|0|0|0,"CHECK(input != nullptr) << ""node = "" << node.name()
<< "" input = "" << node.input(0);"
195091,221631,1,tensorflow,CWE-754,target1_all_wrong_semantic,shape_invariant,shape_invariant|bounds_size|null_check|error_handling,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,1,1,2597,57,0.015608787536621094,vulnerable,"}
if (maxRank == 0) {
return Value(builder->create<tensor::FromElementsOp>(
loc, shapes[0].getType(), SmallVector<Value>()));",0.017544,"L11: maxRank = std::max(maxRank, found_shape->size());","--- vuln 195091
+++ fixed 221631
@@ -10,4 +10,8 @@
     shapes_found.push_back(*found_shape);
     maxRank = std::max(maxRank, found_shape->size());
+  }
+  if (maxRank == 0) {
+    return Value(builder->create<tensor::FromElementsOp>(
+        loc, shapes[0].getType(), SmallVector<Value>()));
   }
 ",1,CWE-703,radare2,0|0|0|0|0|0,
195092,221651,1,hermes,CWE-843,target1_all_wrong_semantic,error_handling,error_handling,added_guard|added_error_handling|api_replacement,1,1,1,0,1,1,2070,64,0.0038169026374816895,vulnerable,break;,0.015625,"L43: llvm_unreachable(""Invalid literal kind."");","--- vuln 195092
+++ fixed 221651
@@ -41,5 +41,5 @@
           return builder.getLiteralString(""string"");
         default:
-          llvm_unreachable(""Invalid literal kind."");
+          break;
       }
       break;",0,CWE-755,detect-character-encoding,0|0|0|0|0|0,"llvm_unreachable(""Invalid literal kind."");"
195233,222906,1,tensorflow,CWE-787,target1_all_wrong_semantic,bounds_size,bounds_size|error_handling,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,1,1,360,10,-0.893547773361206,fixed,"return errors::InvalidArgument(""SetUnknownShape: Missing context"");
}
if (output_port < 0 || output_port >= ctx->num_outputs()) {
return errors::InvalidArgument(
""SetUnknownShape: output_port must be in [0, "", ctx->num_outputs(),
"") but was "", output_port);",0.1,"L6: return errors::InvalidArgument(""Missing context"");","--- vuln 195233
+++ fixed 222906
@@ -4,5 +4,10 @@
     InferenceContext* ctx = GetContext(node);
     if (ctx == nullptr) {
-      return errors::InvalidArgument(""Missing context"");
+      return errors::InvalidArgument(""SetUnknownShape: Missing context"");
+    }
+    if (output_port < 0 || output_port >= ctx->num_outputs()) {
+      return errors::InvalidArgument(
+          ""SetUnknownShape: output_port must be in [0, "", ctx->num_outputs(),
+          "") but was "", output_port);
     }
     ctx->set_output(output_port, shape);",1,CWE-617,bind9,0|0|0|0|0|0,"return errors::InvalidArgument(""Missing context"");"
195234,222925,1,tensorflow,CWE-617,target1_all_wrong_semantic,shape_invariant,shape_invariant|bounds_size|error_handling,added_guard|added_error_handling|api_replacement|bounds_or_shape_repair,1,1,1,0,1,1,1873,45,-0.0004571676254272461,fixed,"if (arg_index != result_.nodes.size()) {
return errors::Internal(
""Expected arg_index to be equal to the number of nodes in result."",
"" Got "", arg_index, "" and "", result_.nodes.size());
}",0.022222,"L19: DCHECK_EQ(arg_index, result_.nodes.size());","--- vuln 195234
+++ fixed 222925
@@ -17,5 +17,9 @@
       TF_RETURN_IF_ERROR(AddItem(strings::StrCat(arg_def.name(), "":"", i),
                                  {true, arg_index, 0, false, {dtypes[i]}}));
-      DCHECK_EQ(arg_index, result_.nodes.size());
+      if (arg_index != result_.nodes.size()) {
+        return errors::Internal(
+            ""Expected arg_index to be equal to the number of nodes in result."",
+            "" Got "", arg_index, "" and "", result_.nodes.size());
+      }
       string name = arg_def.name();
       if (dtypes.size() > 1) {",1,CWE-119,php-src,0|0|0|0|0|0,"DCHECK_EQ(arg_index, result_.nodes.size());"
195388,225062,1,postgres,CWE-522,target1_all_wrong_semantic,state_flag,state_flag|error_handling,added_guard|added_error_handling,1,1,0,0,4,4,46206,1597,0.014642119407653809,vulnerable,"/*
* At this point we should have no data already buffered.
* If we do, it was received before we performed the SSL
* handshake, so it wasn't encrypted and indeed may have
* been injected by a man-in-the-middle.
*/
if (conn->inCursor != conn->inEnd)
{
appendPQExpBufferStr(&conn->errorMessage,
libpq_gettext(""received unencrypted data after SSL response\n""));
goto error_return;
}

/*
* At this point we should have no data already buffered.
* If we do, it was received before we performed the GSS
* handshake, so it wasn't encrypted and indeed may have
* been injected by a man-in-the-middle.
*/
if (conn->inCursor != conn->inEnd)
{
appendPQExpBufferStr(&conn->errorMessage,
libpq_gettext(""received unencrypted data after GSSAPI encryption response\n""));
goto error_return;
}
",0.002505,"L853: if (pollres == PGRES_POLLING_OK)
L856: conn->status = CONNECTION_MADE;
L952: if (pollres == PGRES_POLLING_OK)
L955: conn->status = CONNECTION_MADE;","--- vuln 195388
+++ fixed 225062
@@ -853,4 +853,17 @@
 				if (pollres == PGRES_POLLING_OK)
 				{
+					/*
+					 * At this point we should have no data already buffered.
+					 * If we do, it was received before we performed the SSL
+					 * handshake, so it wasn't encrypted and indeed may have
+					 * been injected by a man-in-the-middle.
+					 */
+					if (conn->inCursor != conn->inEnd)
+					{
+						appendPQExpBufferStr(&conn->errorMessage,
+											 libpq_gettext(""received unencrypted data after SSL response\n""));
+						goto error_return;
+					}
+
 					/* SSL handshake done, ready to send startup packet */
 					conn->status = CONNECTION_MADE;
@@ -952,4 +965,17 @@
 				if (pollres == PGRES_POLLING_OK)
 				{
+					/*
+					 * At this point we should have no data already buffered.
+					 * If we do, it was received before we performed the GSS
+					 * handshake, so it wasn't encrypted and indeed may have
+					 * been injected by a man-in-the-middle.
+					 */
+					if (conn->inCursor != conn->inEnd)
+					{
+						appendPQExpBufferStr(&conn->errorMessage,
+											 libpq_gettext(""received unencrypted data after GSSAPI encryption response\n""));
+						goto error_return;
+					}
+
 					/* All set for startup packet */
 					conn->status = CONNECTION_MADE;",0,CWE-200,linux-2.6,0|0|0|0|0|0,
195389,225086,1,tensorflow,CWE-617,target1_all_wrong_semantic,assert_dos,assert_dos|error_handling,added_guard|added_error_handling|api_replacement,1,1,1,0,3,1,699,19,0.01659572124481201,vulnerable,"if (a1_set.find(def.name()) != a1_set.end()) {
LOG(ERROR) << ""AttrDef names must be unique, but '"" << def.name()
<< ""' appears more than once"";
}",0.157895,"L6: DCHECK(a1_set.find(def.name()) == a1_set.end())
L7: << ""AttrDef names must be unique, but '"" << def.name()
L8: << ""' appears more than once"";","--- vuln 195389
+++ fixed 225086
@@ -4,7 +4,8 @@
   std::unordered_map<string, const OpDef::AttrDef*> a1_set;
   for (const OpDef::AttrDef& def : a1) {
-    DCHECK(a1_set.find(def.name()) == a1_set.end())
-        << ""AttrDef names must be unique, but '"" << def.name()
-        << ""' appears more than once"";
+    if (a1_set.find(def.name()) != a1_set.end()) {
+      LOG(ERROR) << ""AttrDef names must be unique, but '"" << def.name()
+                 << ""' appears more than once"";
+    }
     a1_set[def.name()] = &def;
   }",0,CWE-125,libevent,0|0|0|0|0|0,"DCHECK(a1_set.find(def.name()) == a1_set.end())
<< ""AttrDef names must be unique, but '"" << def.name()
<< ""' appears more than once"";"
195403,225552,1,tensorflow,CWE-190,target1_all_wrong_semantic,shape_invariant,shape_invariant|bounds_size,bounds_or_shape_repair,0,0,0,0,1,1,260,8,-0.8995012044906616,fixed,size_t alloc_size = TfLiteIntArrayGetSizeInBytes(size);,0.125,L2: int alloc_size = TfLiteIntArrayGetSizeInBytes(size);,"--- vuln 195403
+++ fixed 225552
@@ -1,4 +1,4 @@
 TfLiteIntArray* TfLiteIntArrayCreate(int size) {
-  int alloc_size = TfLiteIntArrayGetSizeInBytes(size);
+  size_t alloc_size = TfLiteIntArrayGetSizeInBytes(size);
   if (alloc_size <= 0) return NULL;
   TfLiteIntArray* ret = (TfLiteIntArray*)malloc(alloc_size);",1,CWE-20,stb,0|0|0|0|0|0,int alloc_size = TfLiteIntArrayGetSizeInBytes(size);
196276,237885,1,lsquic,CWE-269,target1_all_wrong_semantic,other,other,added_guard,1,0,0,0,2,1,1227,33,-0.9330348372459412,fixed,"if (QENC_MIN_DYN_TABLE_SIZE > dyn_table_size)
dyn_table_size = 0;",0.060606,"L16: qeh->qeh_tsu_sz = sizeof(qeh->qeh_tsu_buf);
L17: if (0 != lsqpack_enc_init(&qeh->qeh_encoder, (void *) qeh->qeh_conn,","--- vuln 196276
+++ fixed 237885
@@ -15,4 +15,6 @@
              | (server ? LSQPACK_ENC_OPT_SERVER : 0);
     qeh->qeh_tsu_sz = sizeof(qeh->qeh_tsu_buf);
+    if (QENC_MIN_DYN_TABLE_SIZE > dyn_table_size)
+        dyn_table_size = 0;
     if (0 != lsqpack_enc_init(&qeh->qeh_encoder, (void *) qeh->qeh_conn,
                 max_table_size, dyn_table_size, max_risked_streams, enc_opts,",0,CWE-415,linux,0|0|0|0|0|0,
196621,241311,1,mruby,CWE-787,target1_all_wrong_semantic,error_handling,error_handling,added_guard|added_error_handling,1,1,0,0,1,1,228,10,0.911151111125946,vulnerable,"if (h && mt_del(mrb, h, mid)) {
mrb_mc_clear_by_class(mrb, c);
return;
}",0.1,"L8: if (h && mt_del(mrb, h, mid)) return;","--- vuln 196621
+++ fixed 241311
@@ -6,5 +6,8 @@
   h = c->mt;
 
-  if (h && mt_del(mrb, h, mid)) return;
+  if (h && mt_del(mrb, h, mid)) {
+    mrb_mc_clear_by_class(mrb, c);
+    return;
+  }
   mrb_name_error(mrb, mid, ""method '%n' not defined in %C"", mid, c);
 }",0,CWE-362,linux,0|0|0|0|0|0,"if (h && mt_del(mrb, h, mid)) return;"
