idx,target,error_type,taxonomy,dominant_pattern,project,cwe,yes_vote_count,known_vote_count,manual_taxonomy_valid,manual_refined_category,notes
263382,0,FP,yes_prior_consensus_false_positive,error_handling,tensorflow,CWE-703,7,7,yes,bounds_false_alarm,"The permission field is not validated, so the fixed/benign target still contains a permission-checking risk signal."
522438,0,FP,yes_prior_consensus_false_positive,bounds,elfspirit,CWE-125,7,7,yes,yes_prior_consensus_false_positive,The main issue is bounds checking.
353015,0,FP,yes_prior_consensus_false_positive,error_handling,openldap,CWE-617,7,7,yes,bounds_false_alarm,"The clearest bounds risk is that several expressions access data before checking length, such as testing x.bv_val[0] before x.bv_len. Safer code would check x.bv_len first. Calls such as strncasecmp(x.bv_val, ""issuer"", ...) also do not first verify that x.bv_len is long enough. The access is->bv_val[is->bv_len + 1] may read out of bounds unless the relation to x.bv_len is checked. Error-handling returns are present, but allocation failures around ber_dupbv_x and slap_sl_malloc would still require external guarantees."
223089,0,FP,yes_prior_consensus_false_positive,error_handling,ImageMagick,CWE-190,7,7,yes,bounds_false_alarm,This is best explained as a missing bounds-checking issue that can lead to a security vulnerability.
477946,0,FP,yes_prior_consensus_false_positive,error_handling,clamav-devel,CWE-20,7,7,yes,bounds_false_alarm,The bounds-checking pattern can lead to memory-access safety problems.
267917,0,FP,yes_prior_consensus_false_positive,bounds,tensorflow,CWE-703,7,7,yes,bounds_false_alarm,This is primarily a bounds-checking issue.
230394,0,FP,yes_prior_consensus_false_positive,error_handling,pjproject,CWE-703,7,7,yes,state_machine_or_invariant_false_alarm,The relevant risk pattern is an infinite-loop and out-of-bounds-read style state/invariant issue.
359843,0,FP,yes_prior_consensus_false_positive,error_handling,ImageMagick,CWE-617,6,7,yes,lifecycle_or_refcount_false_alarm,"DestroyString appears to call free internally; freeing the same memory twice can cause heap corruption, potentially leading to a crash or exploitation."
484732,0,FP,yes_prior_consensus_false_positive,bounds,libmobi,CWE-787,7,7,yes,bounds_false_alarm,"buf->offset, aoffset, and len are size_t values. Their addition can wrap around and make the comparison incorrect, bypassing the bounds check before memmove accesses memory out of bounds. The code also does not check whether buf or buf->data is NULL before deriving source = buf->data + buf->offset."
267985,0,FP,yes_prior_consensus_false_positive,error_handling,radare2,CWE-125,7,7,yes,bounds_false_alarm,"In the wide-string filtering path, r_utf_block_list may return freq_list, but a continue branch frees only block_list. If r_charset_encode_str returns zero or a negative value, the allocated out buffer may also be leaked."
437708,0,FP,risky_pattern_false_alarm:error_handling,error_handling,linux,CWE-401,5,7,partial,lifecycle_or_refcount_false_alarm,"Although kfifo_free releases the internal buffer, state itself and resources such as the embedded spinlock remain allocated, creating a leak risk."
481267,0,FP,risky_pattern_false_alarm:error_handling,error_handling,linux,CWE-401,4,7,partial,lifecycle_or_refcount_false_alarm,"If mlx5_core_create_cq partially succeeds, for example by creating a device-side CQ or registering resources before returning an error, this function only calls mlx5_wq_destroy(&conn->cq.wq_ctrl). If the callee does not roll back internally, a device CQ resource leak may remain."
235642,0,FP,risky_pattern_false_alarm:error_handling,error_handling,pjproject,CWE-787,5,7,partial,bounds_false_alarm,"The return value of pj_pool_alloc is not checked. If allocation fails, q->name.ptr may be NULL and get_name may write through it. name_len + 4 can also overflow for an abnormal name_len value, causing an undersized allocation before get_name writes into the buffer."
444900,0,FP,risky_pattern_false_alarm:error_handling,error_handling,cifs-utils,CWE-20,4,7,partial,resource_lifecycle_false_alarm,"Cleanup is inconsistent on error paths. For example, when fd < 0, pmntfile has already been opened but endmntent(pmntfile) is not called before jumping to add_mtab_exit, so the file stream may leak."
405333,0,FP,risky_pattern_false_alarm:error_handling,error_handling,linux,CWE-703,5,7,partial,bounds_false_alarm,The assignment pols[1] = xfrm_policy_lookup_bytype(...) writes to pols[1] without checking that the caller provided an array with at least two elements. A shorter array would cause an out-of-bounds write.
417472,0,FP,risky_pattern_false_alarm:error_handling,error_handling,libvirt,CWE-119,2,7,partial,lifecycle_or_refcount_false_alarm,"The function first frees the old *mdev_types array and resets *nmdev_types. If virMediatedDeviceGetMdevTypes then fails, the old data has already been cleared and no replacement is installed. The loop also assumes mdev_types, *mdev_types, and *nmdev_types are mutually consistent; otherwise it may dereference NULL or read/free out of bounds."
226029,0,FP,risky_pattern_false_alarm:error_handling,error_handling,gpac,CWE-476,5,7,partial,lifecycle_or_refcount_false_alarm,"The loop frees ptr->entries[i].name for i < ptr->nb_entries. If ptr->nb_entries is larger than the allocated entries array, the loop can read out of bounds or free invalid pointers."
452994,0,FP,risky_pattern_false_alarm:error_handling,error_handling,nf,CWE-269,3,7,partial,resource_lifecycle_false_alarm,"The risky path depends on expr->ops->offload(ctx, flow, expr). If offload partially adds actions or resources before failing, nft_flow_rule_destroy(flow) must clean up the partial initialization; otherwise a resource leak may remain."
267357,0,FP,risky_pattern_false_alarm:error_handling,error_handling,crun,CWE-276,4,7,partial,integer_overflow_false_alarm,"LISTEN_FDS is parsed with strtoll and added to preserve_fds without checking negative values, invalid characters, overflow, or addition overflow. The allocation (argc + 1) * sizeof(*process->args) can also overflow in extreme cases, leading to an undersized allocation."
221413,0,FP,risky_pattern_false_alarm:error_handling,error_handling,linux,CWE-862,5,7,partial,policy_or_privilege_boundary_false_alarm,"The code merges L1/L2 intercept configuration into the current VMCB control area. If this security logic is wrong, sensitive VM exits may fail to be intercepted, creating a privilege-boundary risk."
195091,1,FN,conservative_consensus_false_negative,bounds,tensorflow,CWE-754,0,7,yes,semantic_context_required_false_negative,"The apparent bounds risk in joined_dimensions[index] is indirectly constrained because dim comes from reverse iteration over shape.value() and maxRank is the maximum rank. A more context-sensitive concern is shapes[0].getType().cast<RankedTensorType>(), which assumes shapes is non-empty."
196621,1,FN,conservative_consensus_false_negative,error_handling,mruby,CWE-787,0,7,yes,semantic_context_required_false_negative,The relevant issue concerns how the code handles deletion failure; judging it requires more semantic context.
208654,1,FN,conservative_consensus_false_negative,error_handling,php-src,CWE-416,0,7,yes,semantic_context_required_false_negative,"zend_hash_init and PHP_SNMP_ADD_PROPERTIES initialize a persistent hash table. If module shutdown lacks a matching destroy path, this may become a lifecycle/resource cleanup issue; this requires checking PHP_MSHUTDOWN_FUNCTION(snmp)."
210203,1,FN,conservative_consensus_false_negative,bounds,linux,CWE-787,0,7,yes,semantic_context_required_false_negative,"More context is needed, especially whether callers of seq_buf_alloc(size) check for NULL and whether size is user-controlled or bounded."
195234,1,FN,conservative_consensus_false_negative,bounds,tensorflow,CWE-617,0,7,yes,semantic_context_required_false_negative,"result_.nodes.size() is size_t but is cast to int. If the node count is extremely large, arg_index may overflow or truncate, causing AddAttr(""index"", arg_index, gnode) to record incorrect indices."
197826,1,FN,conservative_consensus_false_negative,error_handling,tensorflow,CWE-824,0,7,yes,semantic_context_required_false_negative,"The expression out_shape.num_elements() * DataTypeSize(n->output_type(i)) may overflow. If it wraps to a smaller value, the oversized-constant check can be bypassed and later constant folding may create an unexpectedly large tensor."
200934,1,FN,conservative_consensus_false_negative,error_handling,libvirt,CWE-212,0,7,yes,semantic_context_required_false_negative,"The code assumes args, data->backing, and data->expect are valid. If args is NULL, dereferencing data fails. If data->backing or data->expect is NULL, fprintf with %s can crash on paths where parsing unexpectedly succeeds."
207803,1,FN,conservative_consensus_false_negative,bounds,linux,CWE-200,0,7,yes,semantic_context_required_false_negative,"The code mixes per-CPU randomness and the global input pool using fast_pool, spin_trylock, __mix_pool_bytes, and spin_unlock. Correctness depends on lock discipline and per-CPU state semantics."
